3Alpha_Code,Taxonomic_Code,Name_en,Scientific_Name
APQ,1080101411,Iceland catshark,Apristurus laurussonii
CSF,1080101412,Longhead catshark,Apristurus longicephalus
CSX,1080101413,Flathead catshark,Apristurus macrorhynchus
APM,1080101414,,Apristurus macrostomus
APF,1080101415,Madeira catshark,Apristurus maderensis
APA,1080101416,Ghost catshark,Apristurus manis
APX,1080101417,Smalleye catshark,Apristurus microps
APY,1080101418,,Apristurus micropterygeus
APW,1080101419,Largenose catshark,Apristurus nasutus
APK,1080101420,Smallfin catshark,Apristurus parvipinnis
APZ,1080101421,Spatulasnout catshark,Apristurus platyrhynchus
APP,1080101422,Deep-water catshark,Apristurus profundorum
CSV,1080101423,Broadgill catshark,Apristurus riveri
APC,1080101424,Saldanha catshark,Apristurus saldanha
APJ,1080101425,Pale catshark,Apristurus sibogae
ASI,1080101426,South China catshark,Apristurus sinensis
ASO,1080101427,Spongehead catshark,Apristurus spongiceps
ASE,1080101428,Panama ghost catshark,Apristurus stenseni
ASW,1080101429,Borneo catshark,Apristurus verweyi
API,10801014XX,Deep-water catsharks,Apristurus spp
AUK,1080102801,Kanakorum catshark,Aulohalaelurus kanakorum
AUL,1080102802,Australian blackspot catshark,Aulohalaelurus labiosus
HAA,1080103001,Arabian catshark,Halaelurus alcocki
HAB,1080103002,Speckled catshark,Halaelurus boesemani
HAE,1080103003,Blackspotted catshark,Halaelurus buergeri
HAN,1080103004,Dusky catshark,Halaelurus canescens
HAO,1080103005,New Zealand catshark,Halaelurus dawsoni
HAH,1080103006,Bristly catshark,Halaelurus hispidus
HAV,1080103007,Spotless catshark,Halaelurus immaculatus
HAY,1080103008,Lined catshark,Halaelurus lineatus
HAG,1080103009,Mud catshark,Halaelurus lutarius
HAK,1080103010,Tiger catshark,Halaelurus natalensis
HAQ,1080103011,Quagga catshark,Halaelurus quagga
PEU,1080103101,Onefin catshark,Pentanchus profundicolus
CPF,1080103401,Reticulated swellshark,Cephaloscyllium fasciatum
CPS,1080103402,Draughtsboard shark,Cephaloscyllium isabellum
CPT,1080103403,Australian swellshark,Cephaloscyllium laticeps
CPN,1080103404,Whitefinned swellshark,Cephaloscyllium nascione
CPA,1080103405,Indian swellshark,Cephaloscyllium silasi
CPH,1080103406,Balloon shark,Cephaloscyllium sufflans
CPB,1080103407,Blotchy swell shark,Cephaloscyllium umbratile
CPV,1080103408,Swellshark,Cephaloscyllium ventriosum
CPC,1080103501,Lollipop catshark,Cephalurus cephalus
POU,1080103601,Striped catshark,Poroderma africanum
POE,1080103602,Barbeled catshark,Poroderma marleyi
POH,1080103603,Leopard catshark,Poroderma pantherinum
SYX,10801XXXXX,"Catsharks, etc. nei",Scyliorhinidae
BSH,1080200401,Blue shark,Prionace glauca
CIO,1080200501,Daggernose shark,Isogomphodon oxyrhynchus
