"year","production_area","country","iso","general_name","species","common_name","sci_name","quantity","aquaculture","log10_aqua","post"
1975,27,"United Kingdom","GBR","Lobster","LBE","european lobster","Homarus gammarus",867,0,0,1
1975,27,"United Kingdom","GBR","Lobster","NEP","norway lobster","Nephrops norvegicus",12819,0,0,1
1975,27,"United Kingdom","GBR","Salmon","SAL","atlantic salmon","Salmo salar",1779,1258,3.09968064110925,1
1975,77,"United States","USA","Salmon","CHI","chinook salmon","Oncorhynchus tshawytscha",1106,0,0,0
1975,67,"United States","USA","Salmon","CHI","chinook salmon","Oncorhynchus tshawytscha",12398,0,0,0
1975,67,"United States","USA","Salmon","CHU","chum salmon","Oncorhynchus keta",14996,0,0,0
1975,77,"United States","USA","Salmon","COH","coho salmon","Oncorhynchus kisutch",78,420,2.6232492903979,1
1975,67,"United States","USA","Salmon","COH","coho salmon","Oncorhynchus kisutch",12496,420,2.6232492903979,1
1975,21,"United States","USA","Lobster","LBA","american lobster","Homarus americanus",13698,0,0,1
1975,67,"United States","USA","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",26422,0,0,0
1975,31,"United States","USA","Lobster","SLC","caribbean spiny lobster","Panulirus argus",3363,0,0,1
1975,77,"United States","USA","Lobster","SLV","tropical spiny lobsters","Panulirus spp",93,0,0,1
1975,67,"United States","USA","Salmon","SOC","sockeye salmon","Oncorhynchus nerka",23731,0,0,0
1975,31,"Venezuela","VEN","Lobster","SLC","caribbean spiny lobster","Panulirus argus",130,0,0,1
1975,51,"Yemen","YEM","Lobster","LOK","scalloped spiny lobster","Panulirus homarus",1152,0,0,1
1975,61,NA,"SUN","Salmon","CHI","chinook salmon","Oncorhynchus tshawytscha",2229,0,0,0
1975,61,NA,"SUN","Salmon","CHU","chum salmon","Oncorhynchus keta",7691,0,0,0
1975,61,NA,"SUN","Salmon","COH","coho salmon","Oncorhynchus kisutch",3310,420,2.6232492903979,1
1975,27,NA,"","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",2,0,0,1
1975,37,NA,"YUG","Lobster","LBE","european lobster","Homarus gammarus",16,0,0,1
1975,27,NA,"","Lobster","LBE","european lobster","Homarus gammarus",40,0,0,1
1975,37,NA,"YUG","Lobster","NEP","norway lobster","Nephrops norvegicus",245,0,0,1
1975,61,NA,"SUN","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",88415,0,0,0
1975,27,NA,"SUN","Salmon","SAL","atlantic salmon","Salmo salar",1345,1258,3.09968064110925,1
1975,51,NA,"SUN","Lobster","SLV","tropical spiny lobsters","Panulirus spp",2670,0,0,1
1975,61,NA,"SUN","Salmon","SOC","sockeye salmon","Oncorhynchus nerka",1399,0,0,0
1976,37,"Algeria","DZA","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",28,0,0,1
1976,37,"Algeria","DZA","Lobster","NEP","norway lobster","Nephrops norvegicus",101,0,0,1
1976,77,"American Samoa","ASM","Lobster","SLV","tropical spiny lobsters","Panulirus spp",2,0,0,1
1976,31,"Anguilla","AIA","Lobster","SLC","caribbean spiny lobster","Panulirus argus",50,0,0,1
1976,31,"Antigua & Barbuda","ATG","Lobster","SLC","caribbean spiny lobster","Panulirus argus",136,0,0,1
1976,81,"Australia","AUS","Salmon","ASA","australian salmon","Arripis trutta",850,0,0,0
1976,57,"Australia","AUS","Salmon","ASA","australian salmon","Arripis trutta",2281,0,0,0
1976,57,"Australia","AUS","Lobster","JSN","southern rock lobster","Jasus novaehollandiae",3932,0,0,1
1976,57,"Australia","AUS","Lobster","LOA","australian spiny lobster","Panulirus cygnus",8757,0,0,1
1976,81,"Australia","AUS","Lobster","LOG","green rock lobster","Jasus verreauxi",119,0,0,1
1976,57,"Australia","AUS","Lobster","LOS","slipper lobsters","Scyllaridae",2,0,0,1
1976,81,"Australia","AUS","Lobster","LOS","slipper lobsters","Scyllaridae",23,0,0,1
1976,71,"Australia","AUS","Lobster","LOS","slipper lobsters","Scyllaridae",60,0,0,1
1976,71,"Australia","AUS","Lobster","SLV","tropical spiny lobsters","Panulirus spp",5,0,0,1
1976,31,"Bahamas","BHS","Lobster","SLC","caribbean spiny lobster","Panulirus argus",1786,0,0,1
1976,27,"Belgium","BEL","Lobster","NEP","norway lobster","Nephrops norvegicus",448,0,0,1
1976,31,"Belize","BLZ","Lobster","SLC","caribbean spiny lobster","Panulirus argus",634,0,0,1
1976,31,"Bermuda","BMU","Lobster","SLC","caribbean spiny lobster","Panulirus argus",61,0,0,1
1976,41,"Brazil","BRA","Lobster","SLC","caribbean spiny lobster","Panulirus argus",3583,0,0,1
1976,41,"Brazil","BRA","Lobster","SLV","tropical spiny lobsters","Panulirus spp",3368,0,0,1
1976,31,"British Virgin Islands","VGB","Lobster","SLC","caribbean spiny lobster","Panulirus argus",30,0,0,1
1976,34,"Cameroon","CMR","Lobster","SLV","tropical spiny lobsters","Panulirus spp",7,0,0,1
1976,67,"Canada","CAN","Salmon","CHI","chinook salmon","Oncorhynchus tshawytscha",7776,0,0,0
1976,67,"Canada","CAN","Salmon","CHU","chum salmon","Oncorhynchus keta",10922,0,0,0
1976,67,"Canada","CAN","Salmon","COH","coho salmon","Oncorhynchus kisutch",9322,465,2.66745295288995,1
1976,21,"Canada","CAN","Lobster","LBA","american lobster","Homarus americanus",16028,0,0,1
1976,67,"Canada","CAN","Salmon","PIN","pink salmon","Oncorhynchus gorbuscha",17056,0,0,0
1976,21,"Canada","CAN","Salmon","SAL","atlantic salmon","Salmo salar",2209,1651,3.21774707326279,1
1976,67,"Canada","CAN","Salmon","SOC","sockeye salmon","Oncorhynchus nerka",12339,0,0,0
1976,34,"Cape Verde","CPV","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",152,0,0,1
1976,87,"Chile","CHL","Lobster","LOF","juan fernandez rock lobster","Jasus frontalis",48,0,0,1
1976,87,"Chile","CHL","Lobster","LOQ","craylets, squat lobsters","Galatheidae",62662,0,0,1
1976,31,"Colombia","COL","Lobster","SLC","caribbean spiny lobster","Panulirus argus",54,0,0,1
1976,51,"Comoros","COM","Lobster","SLV","tropical spiny lobsters","Panulirus spp",50,0,0,1
1976,34,"Congo - Brazzaville","COG","Lobster","SLV","tropical spiny lobsters","Panulirus spp",1,0,0,1
1976,31,"Costa Rica","CRI","Lobster","SLC","caribbean spiny lobster","Panulirus argus",334,0,0,1
1976,77,"Costa Rica","CRI","Lobster","SLV","tropical spiny lobsters","Panulirus spp",55,0,0,1
1976,31,"Cuba","CUB","Lobster","SLC","caribbean spiny lobster","Panulirus argus",10600,0,0,1
1976,37,"Cyprus","CYP","Lobster","SLO","common spiny lobster","Palinurus elephas",1,0,0,1
1976,27,"Denmark","DNK","Lobster","LBE","european lobster","Homarus gammarus",12,0,0,1
1976,27,"Denmark","DNK","Lobster","NEP","norway lobster","Nephrops norvegicus",1643,0,0,1
1976,27,"Denmark","DNK","Salmon","SAL","atlantic salmon","Salmo salar",1685,1651,3.21774707326279,1
1976,31,"Dominican Republic","DOM","Lobster","SLC","caribbean spiny lobster","Panulirus argus",106,0,0,1
1976,87,"Ecuador","ECU","Lobster","NUG","green spiny lobster","Panulirus gracilis",48,0,0,1
1976,27,"Faroe Islands","FRO","Lobster","NEP","norway lobster","Nephrops norvegicus",42,0,0,1
1976,27,"Faroe Islands","FRO","Salmon","SAL","atlantic salmon","Salmo salar",40,1651,3.21774707326279,1
1976,71,"Fiji","FJI","Lobster","SLV","tropical spiny lobsters","Panulirus spp",4,0,0,1
1976,5,"Finland","FIN","Salmon","SAL","atlantic salmon","Salmo salar",93,1651,3.21774707326279,1
1976,27,"Finland","FIN","Salmon","SAL","atlantic salmon","Salmo salar",688,1651,3.21774707326279,1
1976,27,"France","FRA","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",83,0,0,1
1976,37,"France","FRA","Lobster","LBE","european lobster","Homarus gammarus",8,0,0,1
1976,27,"France","FRA","Lobster","LBE","european lobster","Homarus gammarus",328,0,0,1
1976,27,"France","FRA","Lobster","NEP","norway lobster","Nephrops norvegicus",12194,0,0,1
1976,37,"France","FRA","Lobster","PSL","pink spiny lobster","Palinurus mauritanicus",9,0,0,1
1976,27,"France","FRA","Salmon","SAL","atlantic salmon","Salmo salar",2,1651,3.21774707326279,1
1976,37,"France","FRA","Lobster","SLO","common spiny lobster","Palinurus elephas",110,0,0,1
1976,77,"French Polynesia","PYF","Lobster","SLV","tropical spiny lobsters","Panulirus spp",2,0,0,1
