"year","country","genus","species","sci_name","quantity","aquaculture","post","group","year_start"
1950,"JPN","Decapterus","RSA","Decapterus maruadsi",8700,0,0,0,1984.6
1950,"JPN","Engraulis","JAN","Engraulis japonicus",287000,0,0,0,1984.6
1950,"JPN","Katsuwonus","SKJ","Katsuwonus pelamis",84600,0,0,0,1984.6
1950,"JPN","Loliginidae,","SQU","Loliginidae, Ommastrephidae",42900,0,0,0,1984.6
1950,"JPN","Sardinops","JAP","Sardinops melanostictus",225100,0,0,0,1984.6
1950,"JPN","Scomber","MAS","Scomber japonicus",177900,0,0,0,1984.6
1950,"JPN","Sepiidae,","CTL","Sepiidae, Sepiolidae",17000,0,0,0,1984.6
1950,"JPN","Theragra","ALK","Theragra chalcogramma",132900,0,0,0,1984.6
1950,"JPN","Todarodes","SQJ","Todarodes pacificus",408700,0,0,0,1984.6
1950,"JPN","Trichiurus","LHT","Trichiurus lepturus",10000,0,0,0,1984.6
1950,"KOR","Clupea","HEP","Clupea pallasii",100,0,0,0,1984.6
1950,"KOR","Cololabis","SAP","Cololabis saira",3500,0,0,0,1984.6
1950,"KOR","Engraulis","JAN","Engraulis japonicus",15000,0,0,0,1984.6
1950,"KOR","Sardinops","JAP","Sardinops melanostictus",500,0,0,0,1984.6
1950,"KOR","Scomber","MAS","Scomber japonicus",15000,0,0,0,1984.6
1950,"KOR","Scomberomorus","NPH","Scomberomorus niphonius",900,0,0,0,1984.6
1950,"KOR","Theragra","ALK","Theragra chalcogramma",15000,0,0,0,1984.6
1950,"KOR","Todarodes","SQJ","Todarodes pacificus",20000,0,0,0,1984.6
1950,"KOR","Trichiurus","LHT","Trichiurus lepturus",25000,0,0,0,1984.6
1950,"LBR","Sardinella","SIX","Sardinella spp",500,0,0,0,1984.6
1950,"LBY","Sardinella","SAA","Sardinella aurita",1000,0,0,0,1984.6
1950,"LKA","Auxis","FRZ","Auxis thazard, A. rochei",11,0,0,0,1984.6
1950,"LKA","Katsuwonus","SKJ","Katsuwonus pelamis",1379,0,0,0,1984.6
