"year","production_area","country","iso","source","species","common_name","sci_name","quantity","value","lobster","salmon","general_name"
2012,87,"Peru","PER","Catches","NUG","Green spiny lobster","Panulirus gracilis",1,NA,TRUE,FALSE,"Lobster"
2012,71,"Philippines","PHL","Aquaculture","SLV","Tropical spiny lobsters nei","Panulirus spp",38,1597477.14,TRUE,FALSE,"Lobster"
2012,71,"Philippines","PHL","Catches","LOS","Slipper lobsters nei","Scyllaridae",76,NA,TRUE,FALSE,"Lobster"
2012,71,"Philippines","PHL","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",184,NA,TRUE,FALSE,"Lobster"
2012,5,"Poland","POL","Catches","SAL","Atlantic salmon","Salmo salar",1,NA,FALSE,TRUE,"Salmon"
2012,27,"Poland","POL","Catches","SAL","Atlantic salmon","Salmo salar",32,NA,FALSE,TRUE,"Salmon"
2012,27,"Portugal","PRT","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",8,NA,TRUE,FALSE,"Lobster"
2012,27,"Portugal","PRT","Catches","LBE","European lobster","Homarus gammarus",4,NA,TRUE,FALSE,"Lobster"
2012,27,"Portugal","PRT","Catches","NEP","Norway lobster","Nephrops norvegicus",182,NA,TRUE,FALSE,"Lobster"
2012,27,"Portugal","PRT","Catches","YLL","Mediterranean slipper lobster","Scyllarides latus",1,NA,TRUE,FALSE,"Lobster"
2012,31,"Puerto Rico","PRI","Catches","SLC","Caribbean spiny lobster","Panulirus argus",86,NA,TRUE,FALSE,"Lobster"
2012,51,"Qatar","QAT","Catches","THQ","Flathead lobster","Thenus orientalis",10,NA,TRUE,FALSE,"Lobster"
2012,27,"Russia","RUS","Aquaculture","SAL","Atlantic salmon","Salmo salar",8754,35016000,FALSE,TRUE,"Salmon"
2012,61,"Russia","RUS","Catches","CHE","Masu(=Cherry) salmon","Oncorhynchus masou",2,NA,FALSE,TRUE,"Salmon"
2012,5,"Russia","RUS","Catches","CHE","Masu(=Cherry) salmon","Oncorhynchus masou",6,NA,FALSE,TRUE,"Salmon"
2012,61,"Russia","RUS","Catches","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",261,NA,FALSE,TRUE,"Salmon"
2012,5,"Russia","RUS","Catches","CHI","Chinook(=Spring=King) salmon","Oncorhynchus tshawytscha",349,NA,FALSE,TRUE,"Salmon"
2012,5,"Russia","RUS","Catches","CHU","Chum(=Keta=Dog) salmon","Oncorhynchus keta",49904,NA,FALSE,TRUE,"Salmon"
2012,61,"Russia","RUS","Catches","CHU","Chum(=Keta=Dog) salmon","Oncorhynchus keta",54703,NA,FALSE,TRUE,"Salmon"
2012,61,"Russia","RUS","Catches","COH","Coho(=Silver) salmon","Oncorhynchus kisutch",2055,NA,FALSE,TRUE,"Salmon"
2012,5,"Russia","RUS","Catches","COH","Coho(=Silver) salmon","Oncorhynchus kisutch",2550,NA,FALSE,TRUE,"Salmon"
2012,67,"Russia","RUS","Catches","PIN","Pink(=Humpback) salmon","Oncorhynchus gorbuscha",1,NA,FALSE,TRUE,"Salmon"
2012,5,"Russia","RUS","Catches","PIN","Pink(=Humpback) salmon","Oncorhynchus gorbuscha",25114,NA,FALSE,TRUE,"Salmon"
2012,61,"Russia","RUS","Catches","PIN","Pink(=Humpback) salmon","Oncorhynchus gorbuscha",267688,NA,FALSE,TRUE,"Salmon"
2012,27,"Russia","RUS","Catches","SAL","Atlantic salmon","Salmo salar",32,NA,FALSE,TRUE,"Salmon"
2012,5,"Russia","RUS","Catches","SAL","Atlantic salmon","Salmo salar",86,NA,FALSE,TRUE,"Salmon"
2012,67,"Russia","RUS","Catches","SOC","Sockeye(=Red) salmon","Oncorhynchus nerka",2,NA,FALSE,TRUE,"Salmon"
2012,5,"Russia","RUS","Catches","SOC","Sockeye(=Red) salmon","Oncorhynchus nerka",12349,NA,FALSE,TRUE,"Salmon"
2012,61,"Russia","RUS","Catches","SOC","Sockeye(=Red) salmon","Oncorhynchus nerka",38251,NA,FALSE,TRUE,"Salmon"
