Country,Production_Area,Environment,Species,Year,Quantity,Quantity_Symbol,Value,Value_Symbol
458,57,2,GIP,2011,12792,,57167202.6,
188,2,1,FCY,2011,0,-,0,
458,71,2,GIP,2011,4815,,23517267.8,
458,4,1,PTG,2012,7480.4,,17610307.53,
188,2,1,FCY,2012,0,-,0,
516,47,3,MSM,2010,5,F,14000,
188,2,1,FCY,2013,0,-,0,
458,4,1,TLN,2012,12713.4,,26677456.78,
458,57,2,RES,2011,3492,,21599084.47,
188,2,1,TLN,2008,19380,,48450000,
458,71,2,RES,2011,1745,,10354092.4,
458,4,1,TLP,2012,38841.6,,95088197.45,
458,57,2,LJH,2011,2805,,16368582.13,
188,2,1,TLN,2009,18904,,75616000,
458,71,2,LJH,2011,414,,2457854.45,
458,71,2,TLP,2012,740.3,,1968151.902,
458,57,2,MZZ,2011,1039,,3203075.799,
188,2,1,TLN,2010,21334,,98136400,
458,71,2,MZZ,2011,2859,,9225104.275,
458,4,1,MYN,2012,8904.03,,35695623.07,
458,4,1,PRF,2011,334,,3024587.909,
188,2,1,TLN,2011,22417,,109843300,
458,57,2,MUD,2011,12.3,,69364.00912,
458,4,1,CTO,2012,46522.98,,74572796.93,
458,71,2,MUD,2011,7.2,,38155.35399,
188,2,1,TLN,2012,21510,,105399000,
600,3,1,FCP,2009,180,F,270000,
32,3,1,SXU,2009,0,0,0,
600,3,1,TLP,2005,1700,F,2550000,
600,3,1,TLP,2006,1800,F,2700000,
600,3,1,TLP,2007,1900,F,2850000,
600,3,1,TLP,2008,2000,F,3000000,
600,3,1,TLP,2009,2100,F,3150000,
600,3,1,CHA,2006,200,F,300000,
600,3,1,CHA,2007,200,F,300000,
600,3,1,CHA,2008,200,F,300000,
600,3,1,CHA,2009,250,F,375000,
600,3,1,PRL,2006,50,F,75000,
600,3,1,PRL,2007,50,F,75000,
600,3,1,PRL,2008,50,F,75000,
600,3,1,PRL,2009,50,F,75000,
600,3,1,PRF,2009,20,F,120000,
32,3,1,SXU,2010,1.04,,9100,
188,2,1,TLN,2013,24694,,121000600,
32,3,1,CSO,2010,626,,4382000,
516,47,3,GLS,1984,0,-,0,
516,47,3,GLS,1985,0,-,0,
516,47,3,GLS,1986,0,-,0,
516,47,3,GLS,1987,0,-,0,
516,47,3,GLS,1988,0,-,0,
516,47,3,GLS,1989,0,-,0,
516,47,3,GLS,1990,0,-,0,
516,47,3,GLS,1991,0,-,0,
516,47,3,GLS,1992,0,-,0,
516,47,3,GLS,1993,17,,6800,
516,47,3,GLS,1994,17,,6800,
516,47,3,GLS,1995,17,F,6800,
516,47,3,GLS,1996,17,F,6800,
516,47,3,GLS,1997,17,F,6800,
516,47,3,GLS,1998,17,F,6800,
484,2,1,FCP,1988,7500,,3750000,
484,2,1,FCP,1989,6300,,3780000,
484,2,1,FCP,1990,7600,,5320000,
484,2,1,FCP,1991,8000,,5600000,
484,2,1,FCP,1992,8000,,6400000,
484,2,1,FCP,1993,7000,,7000000,
484,2,1,FCP,1994,7539,,8060698.8,
484,2,1,FCP,1995,3205,,1041592.95,
484,2,1,FCP,1996,8300,,2300760,
484,2,1,FCP,1997,8061,,3250195.2,
484,2,1,FCP,1998,6701,,3350500,
484,2,1,FCP,1999,7002,,4201200,
484,2,1,CAF,2000,801,,1602000,
484,2,1,CAF,2001,754,,1856270.338,
484,2,1,CAF,2002,1262,,2691181.557,
484,2,1,CAF,1950,0,-,,
484,2,1,CAF,1951,0,-,,
484,2,1,CAF,1952,0,-,,
484,2,1,CAF,1953,0,-,,
484,2,1,CAF,1954,0,-,,
484,2,1,CAF,1955,0,-,,
484,2,1,CAF,1956,0,-,,
484,2,1,CAF,1957,0,-,,
484,2,1,CAF,1958,0,-,,
484,2,1,CAF,1959,0,-,,
484,2,1,CAF,1960,0,-,,
484,2,1,CAF,1961,14,,,
484,2,1,CAF,1962,0,-,,
484,2,1,CAF,1963,0,-,,
484,2,1,CAF,1964,0,-,,
484,2,1,CAF,1965,0,-,,
484,2,1,CAF,1966,0,-,,
484,2,1,CAF,1967,0,-,,
484,2,1,CAF,1968,0,-,,
484,2,1,CAF,1969,0,-,,
484,2,1,CAF,1970,130,F,,
484,2,1,CAF,1971,100,F,,
484,2,1,CAF,1972,200,F,,
484,2,1,CAF,1973,330,F,,
484,2,1,CAF,1974,130,F,,
484,2,1,CAF,1975,110,F,,
484,2,1,CAF,1976,150,F,,
484,2,1,CAF,1977,163,F,,
